Date,Open,High,Low,Close,Volume,Adj Close
2000-05-16,17342.839844,17558.509766,17283.519531,17551.25,000,17551.25
2000-05-15,17396.449219,17396.449219,17192.710938,17313.689453,000,17313.689453
2000-05-12,16963.869141,17362.199219,16963.869141,17357.859375,000,17357.859375
2000-05-11,17605.650391,17605.650391,16779.419922,16882.460938,000,16882.460938
2000-05-10,17799.210938,17803.439453,17393.589844,17701.470703,000,17701.470703
2000-05-09,18152.369141,18152.369141,17804.039062,17844.539062,000,17844.539062
2000-05-08,18465.710938,18475.449219,18189.800781,18199.960938,000,18199.960938
2000-05-02,18497.519531,18586.160156,18428.919922,18439.359375,000,18439.359375
2000-05-01,17979.25,18403.080078,17979.25,18403.080078,000,18403.080078
2000-04-28,18035.539062,18137.009766,17926.429688,17973.699219,000,17973.699219
2000-04-27,18122.699219,18245.439453,18012.410156,18019.169922,000,18019.169922
2000-04-26,18326.900391,18439.179688,17948.359375,18134.310547,000,18134.310547
2000-04-25,18433.300781,18630.300781,18176.830078,18272.330078,000,18272.330078
2000-04-24,18247.480469,18987.339844,18247.480469,18480.150391,000,18480.150391
2000-04-21,19050.679688,19269.060547,18091.099609,18252.679688,000,18252.679688
2000-04-20,19041.529297,19382.439453,18959.320312,18959.320312,000,18959.320312
2000-04-19,18998.060547,19192.630859,18794.480469,19086.619141,000,19086.619141
2000-04-18,19089.00,19330.400391,18547.380859,18969.519531,000,18969.519531
2000-04-17,20341.50,20341.50,18603.869141,19008.640625,000,19008.640625
2000-04-14,20456.480469,20604.369141,20330.890625,20434.679688,000,20434.679688
2000-04-13,20736.400391,20736.400391,20385.160156,20526.419922,000,20526.419922
2000-04-12,20475.960938,20833.210938,20436.740234,20833.210938,000,20833.210938
2000-04-11,20544.400391,20656.869141,20516.939453,20522.519531,000,20522.519531
2000-04-10,20368.810547,20640.109375,20368.810547,20619.060547,000,20619.060547
2000-04-07,20269.589844,20463.669922,20252.810547,20252.810547,000,20252.810547
2000-04-06,20476.230469,20556.970703,20171.619141,20223.609375,000,20223.609375
2000-04-05,20546.599609,20654.630859,20311.789062,20462.769531,000,20462.769531
2000-04-04,20747.820312,20747.820312,20536.330078,20594.929688,000,20594.929688
2000-04-03,20327.789062,20726.990234,20271.919922,20726.990234,000,20726.990234
2000-03-31,20371.070312,20550.099609,20259.349609,20337.320312,000,20337.320312
2000-03-30,20706.449219,20809.789062,20439.439453,20441.50,000,20441.50
2000-03-29,20406.560547,20809.179688,20406.560547,20706.650391,000,20706.650391
2000-03-28,20273.679688,20388.179688,20014.080078,20374.339844,000,20374.339844
2000-03-27,19976.140625,20295.689453,19880.109375,20281.029297,000,20281.029297
2000-03-24,19752.160156,20012.410156,19697.570312,19958.080078,000,19958.080078
2000-03-23,19749.509766,19762.300781,19568.769531,19704.599609,000,19704.599609
2000-03-22,19612.230469,19734.429688,19602.880859,19733.589844,000,19733.589844
2000-03-21,19598.529297,19602.359375,19455.109375,19602.359375,000,19602.359375
2000-03-17,19335.599609,19573.480469,19335.599609,19566.320312,000,19566.320312
2000-03-16,19095.630859,19313.179688,18892.259766,19253.230469,000,19253.230469
2000-03-15,19120.060547,19120.060547,18765.880859,19078.599609,000,19078.599609
2000-03-14,19139.570312,19335.220703,18956.25,19141.839844,000,19141.839844
2000-03-13,19731.50,19760.349609,19060.080078,19189.929688,000,19189.929688
2000-03-10,19734.839844,19982.439453,19686.50,19750.400391,000,19750.400391
2000-03-09,19751.720703,19885.539062,19614.820312,19662.330078,000,19662.330078
2000-03-08,19856.369141,19856.369141,19692.039062,19766.800781,000,19766.800781
2000-03-07,19802.539062,19944.240234,19704.230469,19944.240234,000,19944.240234
2000-03-06,20041.480469,20160.029297,19742.580078,19796.349609,000,19796.349609
2000-03-03,20023.039062,20034.599609,19859.419922,19927.539062,000,19927.539062
2000-03-02,20097.589844,20202.960938,19903.289062,20065.109375,000,20065.109375
2000-03-01,20030.080078,20165.509766,20007.640625,20081.669922,000,20081.669922
2000-02-29,19761.519531,19978.75,19747.019531,19959.519531,000,19959.519531
2000-02-28,19783.439453,19904.859375,19713.859375,19720.099609,000,19720.099609
2000-02-25,19623.380859,19817.880859,19539.00,19817.880859,000,19817.880859
2000-02-24,19616.259766,19698.949219,19558.039062,19571.439453,000,19571.439453
2000-02-23,19439.169922,19527.789062,19373.039062,19519.550781,000,19519.550781
2000-02-22,19553.619141,19712.369141,19353.400391,19390.580078,000,19390.580078
2000-02-21,19736.150391,19763.509766,19543.75,19543.75,000,19543.75
2000-02-18,19852.179688,19862.939453,19670.050781,19789.029297,000,19789.029297
2000-02-17,19646.369141,19803.689453,19518.080078,19791.400391,000,19791.400391
2000-02-16,19418.560547,19612.599609,19300.140625,19599.179688,000,19599.179688
2000-02-15,19587.820312,19689.160156,19331.050781,19367.830078,000,19367.830078
2000-02-14,19698.570312,19748.419922,19556.460938,19556.460938,000,19556.460938
2000-02-10,19915.529297,19915.560547,19710.019531,19710.019531,000,19710.019531
2000-02-09,19930.410156,20046.140625,19925.640625,20007.769531,000,20007.769531
2000-02-08,19955.300781,19983.439453,19834.810547,19868.880859,000,19868.880859
2000-02-07,19832.759766,19948.599609,19780.560547,19945.429688,000,19945.429688
2000-02-04,19866.189453,20011.910156,19752.119141,19763.130859,000,19763.130859
2000-02-03,19648.349609,19878.830078,19648.349609,19786.419922,000,19786.419922
2000-02-02,19522.330078,19860.259766,19522.330078,19578.910156,000,19578.910156
2000-02-01,19536.679688,19553.679688,19266.960938,19423.380859,000,19423.380859
2000-01-31,19375.109375,19539.699219,19224.470703,19539.699219,000,19539.699219
2000-01-28,19261.009766,19595.830078,19237.490234,19434.779297,000,19434.779297
2000-01-27,19125.619141,19238.080078,18971.679688,19209.720703,000,19209.720703
2000-01-26,18982.839844,19145.900391,18982.839844,19111.189453,000,19111.189453
2000-01-25,19004.390625,19131.189453,18815.369141,18895.529297,000,18895.529297
2000-01-24,18878.460938,19124.570312,18877.130859,19056.710938,000,19056.710938
2000-01-21,18994.890625,18994.890625,18713.169922,18878.089844,000,18878.089844
2000-01-20,18930.259766,19167.029297,18921.109375,19008.009766,000,19008.009766
2000-01-19,19181.869141,19181.869141,18897.75,18897.75,000,18897.75
2000-01-18,19412.470703,19412.470703,19145.169922,19196.570312,000,19196.570312
2000-01-17,19025.619141,19442.580078,19025.619141,19437.230469,000,19437.230469
2000-01-14,18882.990234,19058.019531,18733.830078,18956.550781,000,18956.550781
2000-01-13,18667.179688,18845.029297,18667.179688,18833.289062,000,18833.289062
2000-01-12,18780.169922,18811.869141,18626.919922,18677.419922,000,18677.419922
2000-01-11,18246.099609,18887.560547,18246.099609,18850.919922,000,18850.919922
2000-01-07,18194.050781,18285.730469,18068.099609,18193.410156,000,18193.410156
2000-01-06,18574.009766,18582.740234,18168.269531,18168.269531,000,18168.269531
2000-01-05,19003.509766,19003.509766,18221.820312,18542.550781,000,18542.550781
2000-01-04,18937.449219,19187.609375,18937.449219,19002.859375,000,19002.859375
1999-12-30,18793.550781,18960.330078,18722.509766,18934.339844,000,18934.339844
1999-12-29,18777.849609,18886.039062,18729.080078,18810.580078,000,18810.580078
1999-12-28,18545.410156,18816.699219,18480.789062,18783.519531,000,18783.519531
1999-12-27,18596.490234,18666.619141,18472.599609,18546.900391,000,18546.900391
1999-12-24,18496.460938,18777.039062,18496.460938,18584.949219,000,18584.949219
1999-12-22,18164.339844,18461.929688,18164.339844,18461.929688,000,18461.929688
1999-12-21,18166.279297,18168.099609,18024.640625,18080.380859,000,18080.380859
1999-12-20,18137.939453,18272.25,18060.349609,18175.490234,000,18175.490234
1999-12-17,18126.109375,18255.919922,18095.119141,18095.119141,000,18095.119141
1999-12-16,18126.539062,18187.50,18006.320312,18111.310547,000,18111.310547
1999-12-15,18145.349609,18302.830078,18030.720703,18138.359375,000,18138.359375
1999-12-14,18204.519531,18210.179688,18039.609375,18165.550781,000,18165.550781
1999-12-13,18284.980469,18284.980469,18150.710938,18205.080078,000,18205.080078
1999-12-10,18264.539062,18416.070312,18212.990234,18271.849609,000,18271.849609
1999-12-09,18405.759766,18405.759766,18081.779297,18260.720703,000,18260.720703
1999-12-08,18556.630859,18604.910156,18383.890625,18401.199219,000,18401.199219
1999-12-07,18512.980469,18657.439453,18466.400391,18593.960938,000,18593.960938
1999-12-06,18380.699219,18664.490234,18380.699219,18507.199219,000,18507.199219
1999-12-03,18528.089844,18610.769531,18349.609375,18368.140625,000,18368.140625
1999-12-02,18535.880859,18684.199219,18339.849609,18514.410156,000,18514.410156
1999-12-01,18563.259766,18718.919922,18465.820312,18495.949219,000,18495.949219
1999-11-30,18853.439453,18864.859375,18477.720703,18558.230469,000,18558.230469
1999-11-29,18883.410156,18909.890625,18722.890625,18850.269531,000,18850.269531
1999-11-26,18776.980469,19002.25,18675.050781,18914.50,000,18914.50
1999-11-25,18914.640625,19020.900391,18649.310547,18721.779297,000,18721.779297
1999-11-24,18796.019531,19036.080078,18664.019531,18896.210938,000,18896.210938
1999-11-22,18607.050781,18848.730469,18607.050781,18822.119141,000,18822.119141
1999-11-19,18576.419922,18837.009766,18570.839844,18570.839844,000,18570.839844
1999-11-18,18299.949219,18686.869141,18292.300781,18532.810547,000,18532.810547
1999-11-17,18218.720703,18509.699219,18071.25,18274.820312,000,18274.820312
1999-11-16,18214.890625,18289.410156,18090.919922,18155.140625,000,18155.140625
1999-11-15,18295.50,18519.519531,18198.089844,18198.089844,000,18198.089844
1999-11-12,18358.279297,18483.50,18245.699219,18258.550781,000,18258.550781
1999-11-11,18551.859375,18659.550781,18310.259766,18327.279297,000,18327.279297
1999-11-10,18258.369141,18622.779297,18214.789062,18567.869141,000,18567.869141
1999-11-09,18259.410156,18498.050781,18259.410156,18292.160156,000,18292.160156
1999-11-08,18381.240234,18481.519531,18179.779297,18240.980469,000,18240.980469
1999-11-05,18340.179688,18491.310547,18173.970703,18354.900391,000,18354.900391
1999-11-04,18067.359375,18377.730469,18067.359375,18348.130859,000,18348.130859
1999-11-02,17976.910156,18058.419922,17857.109375,17991.960938,000,17991.960938
1999-11-01,17982.390625,18119.939453,17952.960938,17996.919922,000,17996.919922
1999-10-29,17467.890625,17947.570312,17467.890625,17942.080078,000,17942.080078
1999-10-28,17403.269531,17525.880859,17403.269531,17413.710938,000,17413.710938
1999-10-27,17655.779297,17655.779297,17360.830078,17382.359375,000,17382.359375
1999-10-26,17656.429688,17751.830078,17578.730469,17671.789062,000,17671.789062
1999-10-25,17494.929688,17787.730469,17494.929688,17648.789062,000,17648.789062
1999-10-22,17458.980469,17607.660156,17432.189453,17438.800781,000,17438.800781
1999-10-21,17543.830078,17605.410156,17325.769531,17448.269531,000,17448.269531
1999-10-20,17297.660156,17560.25,17297.660156,17534.710938,000,17534.710938
1999-10-19,17325.039062,17377.279297,17178.470703,17254.169922,000,17254.169922
1999-10-18,17568.919922,17568.919922,17194.029297,17275.330078,000,17275.330078
1999-10-15,17779.779297,17808.439453,17511.109375,17601.570312,000,17601.570312
1999-10-14,17765.75,17941.509766,17702.240234,17780.259766,000,17780.259766
1999-10-13,18030.400391,18030.910156,17754.490234,17754.490234,000,17754.490234
1999-10-12,18098.199219,18221.689453,18084.490234,18090.810547,000,18090.810547
1999-10-08,18164.669922,18164.669922,17915.150391,18062.179688,000,18062.179688
1999-10-07,17985.960938,18228.390625,17985.960938,18136.550781,000,18136.550781
1999-10-06,17822.640625,17926.130859,17734.300781,17896.419922,000,17896.419922
1999-10-05,17819.00,17985.470703,17775.949219,17784.150391,000,17784.150391
1999-10-04,17747.560547,17888.859375,17675.279297,17763.710938,000,17763.710938
1999-10-01,17589.730469,17886.390625,17510.289062,17712.560547,000,17712.560547
1999-09-30,17307.220703,17771.210938,17307.220703,17605.460938,000,17605.460938
1999-09-29,17313.320312,17313.320312,17071.019531,17282.279297,000,17282.279297
1999-09-28,16892.460938,17388.699219,16892.460938,17325.699219,000,17325.699219
1999-09-27,16888.019531,17039.419922,16820.929688,16821.060547,000,16821.060547
1999-09-24,17290.009766,17290.009766,16652.039062,16871.730469,000,16871.730469
1999-09-22,17842.869141,17842.869141,17248.919922,17325.759766,000,17325.759766
1999-09-21,17585.779297,17932.789062,17558.740234,17932.789062,000,17932.789062
1999-09-20,17418.230469,17662.820312,17418.230469,17575.259766,000,17575.259766
1999-09-17,17273.990234,17391.150391,17118.310547,17342.269531,000,17342.269531
1999-09-16,17703.970703,17703.970703,17058.130859,17291.589844,000,17291.589844
1999-09-14,17880.990234,17880.990234,17610.310547,17777.220703,000,17777.220703
1999-09-13,17735.599609,17988.589844,17735.599609,17909.289062,000,17909.289062
1999-09-10,17648.890625,17831.599609,17589.050781,17711.019531,000,17711.019531
1999-09-09,17707.089844,17859.710938,17677.279297,17677.560547,000,17677.560547
1999-09-08,17710.019531,17710.019531,17509.730469,17641.380859,000,17641.380859
1999-09-07,17777.919922,17858.130859,17651.939453,17707.50,000,17707.50
1999-09-06,17664.060547,17839.710938,17664.060547,17756.509766,000,17756.509766
1999-09-03,17632.099609,17716.740234,17559.400391,17629.990234,000,17629.990234
1999-09-02,17795.400391,17800.800781,17630.320312,17631.25,000,17631.25
1999-09-01,17479.570312,17819.599609,17479.570312,17802.480469,000,17802.480469
1999-08-31,17886.199219,17886.199219,17425.490234,17436.560547,000,17436.560547
1999-08-30,17642.050781,17925.070312,17642.050781,17918.970703,000,17918.970703
1999-08-27,17710.970703,17816.669922,17567.859375,17599.369141,000,17599.369141
1999-08-26,17863.910156,17995.490234,17666.289062,17666.289062,000,17666.289062
1999-08-25,18099.230469,18164.990234,17795.080078,17855.160156,000,17855.160156
1999-08-24,18266.220703,18397.929688,18095.410156,18095.410156,000,18095.410156
1999-08-23,18133.199219,18384.859375,18133.199219,18233.550781,000,18233.550781
1999-08-20,17907.519531,18123.289062,17907.519531,18098.109375,000,18098.109375
1999-08-19,17843.109375,17923.300781,17665.970703,17879.740234,000,17879.740234
1999-08-18,17873.310547,18082.470703,17827.890625,17892.259766,000,17892.259766
1999-08-17,17842.970703,17916.080078,17766.689453,17860.089844,000,17860.089844
1999-08-16,17499.119141,17937.210938,17499.119141,17826.029297,000,17826.029297
1999-08-13,17430.050781,17493.949219,17284.699219,17435.169922,000,17435.169922
1999-08-12,17280.789062,17476.679688,17280.789062,17422.970703,000,17422.970703
1999-08-11,17185.699219,17361.820312,17097.410156,17211.160156,000,17211.160156
1999-08-10,17188.869141,17203.390625,17040.720703,17202.089844,000,17202.089844
1999-08-09,17105.929688,17313.970703,17095.50,17190.449219,000,17190.449219
1999-08-06,17345.529297,17345.529297,17046.119141,17084.240234,000,17084.240234
1999-08-05,17638.929688,17638.929688,17210.039062,17358.189453,000,17358.189453
1999-08-04,17913.619141,17913.619141,17631.810547,17685.380859,000,17685.380859
1999-08-03,17824.679688,17969.929688,17597.740234,17969.929688,000,17969.929688
1999-08-02,17827.240234,17909.890625,17726.050781,17825.699219,000,17825.699219
1999-07-30,17857.910156,17959.279297,17677.140625,17861.859375,000,17861.859375
1999-07-29,17633.339844,17957.369141,17633.339844,17869.919922,000,17869.919922
1999-07-28,17508.660156,17729.679688,17508.660156,17579.910156,000,17579.910156
1999-07-27,17484.359375,17613.240234,17367.080078,17462.720703,000,17462.720703
1999-07-26,17568.320312,17663.220703,17491.339844,17491.339844,000,17491.339844
1999-07-23,17657.169922,17657.169922,17414.359375,17534.439453,000,17534.439453
1999-07-22,18221.070312,18221.070312,17665.039062,17730.339844,000,17730.339844
1999-07-21,18458.580078,18458.580078,18182.910156,18257.519531,000,18257.519531
1999-07-19,18288.369141,18532.580078,18288.369141,18532.580078,000,18532.580078
1999-07-16,18438.050781,18623.150391,18248.300781,18248.300781,000,18248.300781
1999-07-15,18402.630859,18459.509766,18269.519531,18431.859375,000,18431.859375
1999-07-14,18188.359375,18455.599609,18165.919922,18357.859375,000,18357.859375
1999-07-13,18231.830078,18343.25,18172.25,18181.089844,000,18181.089844
1999-07-12,17921.580078,18274.179688,17843.390625,18274.179688,000,18274.179688
1999-07-09,17965.699219,17989.199219,17813.460938,17937.730469,000,17937.730469
1999-07-08,17999.300781,18045.560547,17887.179688,17967.650391,000,17967.650391
1999-07-07,18075.210938,18158.380859,17949.730469,17958.900391,000,17958.900391
1999-07-06,18131.759766,18159.550781,17960.720703,18050.730469,000,18050.730469
